pdbid entity method              res-ion   resid chain dih1            dih2            dih3            dih4            dih5            dih6            
6wbg  1      Electron Microscopy 2.97      401   A     -83.0839292570  75.6005601663   -167.9872738560 120.8183719498  107.2707373703  105.5762135097  
6wbg  1      Electron Microscopy 2.97      402   A     147.9832926054  -119.1714782494 128.0665253401  -47.3923214216  -145.6291099131 83.1233199662   
6wbg  1      Electron Microscopy 2.97      402   G     107.9784372933  -167.5921646535 151.6686199235  -39.2891600836  -177.9646284332 74.0259971754   
6wbf  1      Electron Microscopy 2.83      401   A     -83.1355433543  75.5896134544   -167.9571556100 120.8247782550  107.3144841422  105.5941244412  
6wbm  1      Electron Microscopy 2.86      401   A     -83.0998258975  75.6145913851   -167.9680253898 120.8275748523  107.2996114202  105.5883385112  
6wbm  1      Electron Microscopy 2.86      402   A     -137.2029636977 -127.2074959656 125.8812014225  -45.9853504467  -149.1191220581 79.9514529280   
6z16  1      Electron Microscopy 2.98      901   A     20.9351336496   90.0293723381   56.9249083391   -164.5586584087 -85.6260908890  172.0412934155  
6z16  1      Electron Microscopy 2.98      902   A     151.9022561858  174.4752807101  -163.4543336158 105.1794850001  88.6070373834   55.6938944507   
6z16  1      Electron Microscopy 2.98      903   A     72.6667347551   -97.0504619878  -57.9597671673  102.4174310542  -135.4072454007 135.2367536966  
6z16  1      Electron Microscopy 2.98      904   A     -151.6485002360 160.0719029617  138.1527514861  -169.3052776836 89.0579201987   88.8182916887   
6z16  1      Electron Microscopy 2.98      905   A     -109.2792085635 -179.9183000953 -117.5069670151 21.1266603411   179.0996797391  70.6984196156   
6z16  1      Electron Microscopy 2.98      906   A     172.3979474319  -98.3677337856  148.1401678705  -139.9508912249 103.1932068523  132.3841282727  
6z16  1      Electron Microscopy 2.98      907   A     139.0489979121  170.9548084276  -120.9786734801 42.0236122167   -144.7294035840 179.0648098117  
6z16  1      Electron Microscopy 2.98      201   B     143.3443027400  -110.7573911753 107.1346824759  148.4900621658  -110.8910209360 84.0991906229   
6z16  1      Electron Microscopy 2.98      501   D     22.0774067785   158.5235705445  -163.2799534332 -109.1276550517 -138.2759909103 -157.1728835931 
6z16  1      Electron Microscopy 2.98      502   D     162.2364421165  129.9667756879  98.0950464025   -161.2131538332 -116.9901548384 -72.4851424075  
6z16  1      Electron Microscopy 2.98      503   D     -17.6039788279  115.5996350813  101.2425828120  162.6008312642  175.8057218006  144.4505996214  
6z16  1      Electron Microscopy 2.98      201   E     146.6195623832  -113.0745633385 110.3298702783  144.4407871517  -107.8138269728 87.0521547641   
6z16  1      Electron Microscopy 2.98      1801  F     -171.9547675585 -106.4332837940 -111.9453510222 -53.7261313468  103.8872027064  117.0487975246  
6z16  1      Electron Microscopy 2.98      1802  F     78.5588023963   83.4045919321   157.1201915251  -84.5205020503  -90.9642790203  -170.0420743468 
6z16  1      Electron Microscopy 2.98      901   a     19.8635041441   92.3680477102   65.9381255174   -162.6885554690 -85.9985358952  165.8698626849  
6z16  1      Electron Microscopy 2.98      902   a     -174.6930593892 142.8862797144  165.4042738150  106.2517336217  91.0451704120   55.4079329372   
6z16  1      Electron Microscopy 2.98      903   a     76.2715349313   -95.7520247295  -59.7593602346  100.5607577825  -135.8241510330 135.7547484422  
6z16  1      Electron Microscopy 2.98      904   a     -148.2424492937 161.6586816331  135.6491663920  -174.9404672878 85.5088676975   87.2049196223   
6z16  1      Electron Microscopy 2.98      905   a     -106.4725434553 179.0211634078  -117.2195996290 29.8114277540   171.3002312593  65.3883688282   
6z16  1      Electron Microscopy 2.98      906   a     173.9276196727  -99.2088361622  147.0017863136  -142.7859943384 109.0011542352  137.2126415611  
6z16  1      Electron Microscopy 2.98      907   a     136.2118279608  158.0702669992  -120.1739798574 32.9233772690   -140.2217945999 -173.1052037413 
6z16  1      Electron Microscopy 2.98      501   d     45.3990746062   139.0504247962  -172.9776912593 -93.5881416071  -149.8270066368 -161.7815320770 
6z16  1      Electron Microscopy 2.98      502   d     152.1607116271  135.9034309575  105.8245827880  -156.8130556465 -118.9895616948 -73.9277519583  
6z16  1      Electron Microscopy 2.98      503   d     -27.4847926250  122.4969461886  99.4335626831   167.7528222661  174.9917717027  140.9102499911  
6z16  1      Electron Microscopy 2.98      1801  f     178.0829133970  -120.2897565352 -121.1938301732 -58.1608666839  102.6640660699  120.3553433646  
6z16  1      Electron Microscopy 2.98      1802  f     73.2317040364   73.6791055553   150.0600130682  -81.6130242712  -91.2407739243  -170.4881232095 
6ymy  1      Electron Microscopy 3.41      604   a     -172.4395045218 -143.5148482278 -154.6113705882 54.2233810225   -177.5924389632 147.9913511718  
6ymy  1      Electron Microscopy 3.41      605   a     161.3823397078  -165.6065729295 145.6600814174  -43.7400462392  -177.9636708513 91.9854375725   
6ymy  1      Electron Microscopy 3.41      302   b     -161.7439173103 116.9772978989  174.9197265554  -164.7496409889 -149.0096845768 113.2132163567  
6ymy  1      Electron Microscopy 3.41      303   b     -165.0935272808 -179.4610252941 -167.9897146204 -139.7790528388 -163.9901450439 -27.6622870526  
6ymy  1      Electron Microscopy 3.41      301   c     -156.8966368276 -135.6838672028 -179.6838757446 58.8397297404   138.0900457008  -125.5114305430 
6ymy  1      Electron Microscopy 3.41      201   e     -50.5436523490  168.1566934489  6.0953789356    55.7805651635   123.8204361951  69.8969243807   
6ymy  1      Electron Microscopy 3.41      101   i     -163.8221391097 108.4142694159  86.3085186840   37.7844700877   111.2627538455  144.8654648432  
6wm2  1      Electron Microscopy 3.1       904   R     -47.4501144190  114.7226366655  -33.5947728835  -132.9382428324 133.8752812731  -105.9619706510 
1p84  1      X-ray diffraction   2.5       710   C     133.9491646846  -77.4484698299  178.0544820366  56.4321288298   152.6876143694  -0.8384441256   
1p84  1      X-ray diffraction   2.5       711   C     -33.9674156610  -101.4550604732 -83.0184992694  126.6707772782  145.1188929333  118.2526590935  
3szd  1      X-ray diffraction   2.311     406   A     111.4453392053  -178.3954342570 62.5039222408   -167.4340966690 -135.6982965488 -146.7634326235 
3m9i  1      Electron crystallography2.5       301   A     75.6393040906   150.3262088164  -175.1856440886 -171.3349371222 161.1582375876  -107.3964979802 
3m9i  1      Electron crystallography2.5       302   A     -156.2100081039 138.4092923863  -122.7442048861 165.2567224287  171.3037492893  32.0309420117   
3m9i  1      Electron crystallography2.5       303   A     -121.7479443202 -124.6192528722 56.2826673242   142.8858849113  92.1208122662   28.2171048620   
3m9i  1      Electron crystallography2.5       304   A     101.8612378289  163.5458092509  -66.5292570154  165.0020134541  101.3007622363  170.2707675565  
3m9i  1      Electron crystallography2.5       305   A     128.7091914457  -134.3989570123 44.5365290395   132.9334057847  118.3464867974  -50.4996150617  
3m9i  1      Electron crystallography2.5       306   A     -78.1090476644  -169.6970623672 -97.5472918947  -6.8793989719   -158.4417219243 -153.4803005138 
3m9i  1      Electron crystallography2.5       307   A     -92.4480483054  164.0856082455  -31.1738644375  -51.1605816918  174.6449088747  -150.7217699888 
5ejz  1      X-ray diffraction   2.94      924   A     122.6230863261  116.1513542877  68.5091378925   164.3422171606  -163.0963492650 179.5235692167  
4p02  1      X-ray diffraction   2.65      921   A     74.3970793855   121.0519697736  75.2238168519   176.8964261721  -172.0152319967 179.6659744841  
4pd4  1      X-ray diffraction   3.04      4004  C     124.3660897673  -78.9518966573  172.6335713331  -96.1112587918  -112.8763521259 -169.4944550098 
4p00  1      X-ray diffraction   3.2       923   A     66.3684468867   122.7838746947  71.8989361384   -176.0313228553 -169.3296158504 175.6451399841  
4qn9  1      X-ray diffraction   2.652     503   A     -173.1242680436 -128.3973215046 68.8121696117   -103.2842781455 150.1782881361  9.8824385782    
4qn9  1      X-ray diffraction   2.652     606   B     -170.9780218027 -130.5466580359 70.6709836755   -105.0396398630 149.7343604301  13.1165843803   
5ej1  3      X-ray diffraction   3.4       922   A     -20.2379121075  -146.0184264112 148.3625990365  -106.4563409225 158.2944288962  30.0062887114   
6zk9  2      Electron Microscopy 2.3       203   6     -78.7602639012  -136.2926996251 174.7964530362  -102.3057807881 -128.8618524533 37.4802117519   
6zk9  2      Electron Microscopy 2.3       201   i     -171.9207892561 124.3243495843  178.3139905030  -92.3637327977  178.3900650920  -60.6382368093  
6zkb  1      Electron Microscopy 2.9       1001  L     -84.6917875247  166.1870683791  148.7785532480  74.3841976785   133.7932438868  -13.4831485168  
6zkb  1      Electron Microscopy 2.9       1004  L     -119.7667018925 99.2015148411   -78.8855304125  134.4367928362  73.1485820866   62.0675366395   
6zkb  1      Electron Microscopy 2.9       501   M     -158.8361894891 143.8707584223  120.1757389595  83.0028364956   -104.2927752182 169.1172716827  
